Feature,Importance Fold 0,Importance Fold 1,Importance Fold 2,Importance Fold 3,Importance Fold 4,Average Importance
country_Sweden,0.008395164838271763,0.02054023256780215,0.05558693018939602,0.037158780629550116,0.02811272325560994,0.029958766296125993
country_Botswana,0.06317018622141206,0.011952788076345944,0.010150580980330082,0.047006132987763814,0.016108306923942294,0.02967759903795884
country_Portugal,0.032937453346170334,0.019106157198975793,0.02207819417726924,0.027812414343191948,0.045123476057696975,0.02941153902466086
country_United States,0.026606235598845583,0.02620116830392838,0.029883924518263338,0.02539558612027575,0.03848139584888375,0.02931366207803936
country_Sri Lanka,0.024356611553483586,0.035587631576659826,0.021132288599191206,0.03487751371724399,0.029042235674222105,0.028999256224160143
country_France,0.035263023956945895,0.016634968410491457,0.015537623096017006,0.0245303887778646,0.050260968569269295,0.02844539456211765
country_Canada,0.018129680946933614,0.03820346720487962,0.03964293073781551,0.01833025149564884,0.026765537700181752,0.028214373617091865
country_Belgium,0.05230215504723921,0.027348127930575485,0.0218256654494293,0.03870165079022736,0.0,0.028035519843494273
country_Kuwait,0.04748906460245474,0.045872819894760684,0.010570313003306797,0.0214613233457303,0.013723978634650181,0.02782349989618054
country_Hungary,0.031588437190352425,0.02875863707280226,0.03382800297285036,0.03912797190900976,0.003676486251919342,0.027395907079386835
country_New Zealand,0.02665697268061993,0.017594017079724144,0.029464735258348317,0.030415114733406568,0.03227542713370028,0.027281253377159847
country_Netherlands,0.013384017036509866,0.028341403738348904,0.0593626362484716,0.02628826300824951,0.007717665727664436,0.027018797151848867
country_Switzerland,0.040905516812707335,0.009527685978376254,0.05683661484881075,0.016989074804319416,0.010722985884173464,0.026996375665677447
country_Spain,0.02473572375551094,0.01905671883758069,0.01763414382236097,0.04111818754550729,0.029828666476025112,0.026474688087397003
country_Norway,0.011538871065471112,0.03075283930147068,0.009573577886307971,0.039989417674590653,0.03897123165301584,0.02616518751617125
country_Denmark,0.011732218532372074,0.02935568502740913,0.030263208484500814,0.02859982005885926,0.028510938645934368,0.02569237414981513
country_Saudi Arabia,0.029076447513665716,0.03778804958486002,0.021069487264562793,0.010068941470942705,0.027990896529269293,0.0251987644726601
country_Austria,0.024486088862921074,0.005698817365267272,0.007528516521900275,0.05109459318407683,0.0369689647841126,0.02515539614365561
country_Latvia,0.042059035015443745,0.005378474267275113,0.018777278904627392,0.03527372550506571,0.019086585261409182,0.02411501979076423
country_Poland,0.023938096032057498,0.010986621255212214,0.018754428307081628,0.047527642147487746,0.015622449148967243,0.023365847378161265
country_Russia,0.04271998586426682,0.011165159468531805,0.004792120978021663,0.01956971511820258,0.03302861497010514,0.022255119279825604
country_Dominican Republic,0.03217438675458264,0.019670828108986925,0.009534152671723927,0.029487760427395027,0.016616723511756006,0.021496770294888907
country_Ukraine,0.04084577184939051,0.0,0.00975642793730489,0.03913163345399682,0.017009666120348443,0.021348699872208134
country_Turkiye,0.026234819034168844,0.01651311997779197,0.015900636568748273,0.038366113833282076,0.0076678810915953525,0.020936514101117305
country_Kazakhstan,0.016015541296050963,0.01643506265104635,0.03125793785416804,0.010651400181950299,0.027067364030920648,0.02028546120282726
country_Finland,0.021345400533805313,0.026729330983907153,0.023406132672400215,0.006145628784973667,0.022700608008909495,0.020065420196799168
country_Taiwan Province of China,0.015459872225422711,0.026543596955531636,0.01723986063580498,0.027128398248837015,0.01242465500932879,0.019759276614985027
country_Italy,0.01684754079304198,0.04026766997299569,0.013322497981184945,0.020898540268584686,0.0067176740731266895,0.0196107846177868
country_Iceland,0.019626318678252597,0.0,0.009320831842314182,0.03563737829571976,0.032197300037995036,0.019356365770856317
country_South Africa,0.013272466359954516,0.023936262890351778,0.015526165574649453,0.01630011515011791,0.027590525374179563,0.019325107069850644
country_South Korea,0.019015410861570124,0.014835024771245809,0.03664652216801627,0.007349860673631215,0.01533361603025043,0.01863608690094277
country_Lithuania,0.016635029438208514,0.001562882167668489,0.004861661666264139,0.025833260304527882,0.041856927516442675,0.01814995221862234
country_Croatia,0.03664332229881948,0.00200361092678647,0.00737864695164907,0.0058984528127316695,0.032742967338937154,0.01693340006578477
country_Qatar,0.029625033777651577,0.039406204427198485,0.0,0.0,0.01514037841833873,0.01683432332463776
country_Chad,0.024099571960713616,0.046102704610553324,0.003590009469648936,0.007944919579315401,0.0019132218993496597,0.016730085503916185
country_Uruguay,0.027253037106962873,0.01403561361806549,0.012370169846703138,0.013711632292043353,0.013283036789092062,0.016130697930573385
country_Pakistan,0.022158945828694578,0.015648502522188433,0.02589266371770933,0.0034219912213169223,0.012818149844923443,0.01598805062696654
lifeExpectancy,0.015499229030784179,0.01753243545555474,0.014974020053879133,0.01565976697407061,0.012972318332680133,0.015327553969393759
